idx,kind,pca_pre_x,pca_pre_y,pca_rnd_x,pca_rnd_y,tsne_pre_x,tsne_pre_y,tsne_rnd_x,tsne_rnd_y
49,trend,-3.3112383,-2.931878,-9.484678,-7.603616,-4.9240007,-21.985212,-10.191175,-11.155209
50,trend,-4.4443345,-4.6674438,-13.768531,-9.33282,0.87593603,-28.097906,-12.861237,-11.632988
51,trend,-4.6391754,-3.5579622,-0.5417789,-6.4175415,-7.1146226,-24.874949,-1.0034204,-10.859838
52,trend,-4.926848,-5.0467887,-19.666765,-8.773982,-1.4338555,-29.554632,-16.857983,-13.93675
53,trend,-4.5887594,-3.3343792,-5.0754347,-12.565602,-2.9709957,-26.065891,-12.051445,-19.685236
54,trend,-4.454819,-4.1891255,-0.64300716,-9.526199,-0.119977236,-27.678299,-5.6732554,-13.645054
55,trend,-4.1517296,-4.021678,7.793207,-10.883732,-4.5230694,-28.267057,0.47576034,-16.131548
56,trend,-4.230838,-3.4415917,14.91819,-9.902211,-6.271941,-28.8374,5.367992,-19.270758
57,trend,-3.9916584,-2.3290427,-5.961525,-12.705517,-4.376844,-21.405342,-14.904584,-17.801033
58,trend,-4.904975,-4.058649,1.5510203,-7.2237644,0.40284562,-29.309416,1.1118997,-11.675354
59,trend,-4.414334,-4.0212874,-10.902059,-8.371715,-1.4351791,-26.6189,-9.513131,-15.148461
60,trend,-4.275123,-3.4060278,-8.438275,-9.390969,-7.282689,-24.080975,-9.540776,-12.488239
61,trend,-4.099978,-3.53806,-2.7450485,-9.458264,-4.8573823,-31.06119,0.622672,-12.195256
62,trend,-4.2380643,-4.0491624,2.828133,-6.791318,-2.0883772,-23.050657,0.5689725,-10.3513775
63,trend,-3.5788186,-2.6444323,-10.466083,-8.82727,-6.770515,-22.220583,-14.297479,-12.013756
64,trend,-5.3479347,-4.3203855,-8.243335,-9.846369,-5.5428896,-24.402481,-7.0485673,-10.654817
65,trend,-4.2375174,-3.8907843,-15.609938,-10.699567,-3.0126126,-27.934263,-12.121363,-10.467934
66,trend,-4.588032,-3.6454978,9.209542,-10.189696,-2.4207492,-26.701506,1.88189,-13.277667
67,trend,-4.2215133,-2.6154478,-14.974091,-7.5311213,-3.048039,-21.932455,-13.939234,-10.086467
68,trend,-5.103216,-3.4057617,-5.0966926,-7.7160907,-4.467867,-25.126078,-8.710282,-16.875452
69,trend,-5.0211253,-4.6605477,5.1575403,-9.34013,-1.6116217,-30.373343,0.33324698,-19.231895
70,trend,-4.939596,-3.066613,5.4604936,-9.882521,-6.0892105,-23.801193,-0.5582672,-19.313414
71,trend,-4.7712536,-3.9554212,19.191818,-11.298384,0.14757739,-24.9493,6.2927527,-17.345085
72,trend,-4.576245,-4.055582,-9.355668,-6.4767165,-5.1003532,-28.95649,-10.222368,-16.685566
73,trend,-4.3713284,-3.9502306,13.6955,-10.195773,-4.1429787,-29.546793,4.560704,-19.500698
74,trend,-5.2675443,-4.412174,2.9624166,-8.571941,0.19102788,-26.618793,-3.1293364,-19.962284
75,trend,-4.391989,-4.1401253,9.888321,-9.756038,-4.3509607,-28.043705,3.2465825,-14.329276
76,trend,-4.6136127,-3.871657,-4.963983,-9.736956,-1.9394417,-24.898304,-8.908633,-14.054759
77,trend,-4.5418005,-4.523194,-9.312243,-6.904506,-6.801075,-25.670113,-11.005799,-17.466476
78,trend,-3.7434175,-2.9440808,-0.50987834,-8.895225,-4.2900915,-21.35123,-2.880762,-14.161493
79,trend,-4.77105,-4.1509085,-14.539603,-11.1103,-2.9471037,-28.994762,-14.201106,-13.7860565
80,trend,-3.3766162,-2.6396255,-3.5566413,-8.048633,-4.7628927,-21.043829,-6.32965,-13.426271
81,trend,-4.5420613,-4.4512525,-12.679373,-6.7288585,0.030104604,-28.186579,-11.44513,-15.660914
82,trend,-5.2100234,-5.092166,9.00073,-13.663554,-1.3534344,-29.972694,4.402968,-14.971093
83,trend,-3.9821403,-3.5446718,23.886883,-10.846875,-7.1283407,-23.720741,9.387372,-18.959057
84,trend,-4.900104,-4.6150527,-12.970307,-7.774942,-3.2656941,-28.984304,-12.667311,-13.834771
85,trend,-4.3675456,-4.280868,5.966308,-11.449034,-3.6449065,-27.775082,0.5130555,-15.864308
86,trend,-4.599147,-4.226797,12.102512,-10.323933,-2.493359,-26.438873,3.19202,-19.882782
87,trend,-4.037165,-3.0592105,3.5604277,-8.211103,-4.538159,-24.031689,-2.8776622,-18.575504
88,trend,-4.583722,-3.7425861,-3.5604434,-6.695641,-3.2822409,-25.08132,-7.6369214,-17.14696
89,trend,-4.1142383,-3.5968955,-15.2232275,-11.502861,-2.682158,-23.16309,-15.369817,-9.36901
90,periodic,7.796617,-2.1674914,-1.5796398,12.070529,27.404528,-5.2371974,26.954178,2.581327
91,periodic,7.7804832,-2.6186035,3.680327,12.050522,28.290663,-4.5229244,26.130798,4.693035
92,periodic,5.5561485,-5.213468,11.930785,8.758078,31.821234,-11.111027,21.414469,5.5582848
93,periodic,6.9392605,-3.498608,-3.2157376,7.474223,33.09779,-10.669268,19.765274,-0.50197035
94,periodic,-2.254849,-0.12352782,5.01188,-2.309783,-21.261486,-0.687992,5.189971,-6.982082
95,periodic,7.5941677,-3.7568653,-26.253647,1.8625945,33.114914,-9.693789,-24.317823,2.2434833
96,periodic,0.14273082,2.8416595,25.058691,3.024592,-14.38867,16.227514,16.76962,13.976153
97,periodic,7.977912,-1.5936955,2.5517542,9.645282,28.561815,-4.1166005,24.772472,-2.7971647
98,periodic,-1.2088419,2.535302,-3.6290288,0.94207317,-10.0347,17.132608,-6.5253663,5.59007
99,periodic,8.635573,-2.2801871,32.898037,7.696315,36.00994,-8.51591,19.997997,12.35993
100,periodic,-2.5497873,0.59888726,-11.217045,-4.1493063,-20.115963,0.16246666,-15.573874,-1.881895
101,periodic,-1.2826531,1.6526822,-8.104625,-3.995494,-20.639872,2.1957047,-11.050135,-4.504781
102,periodic,7.9165134,-1.568642,8.217061,11.988162,27.743782,-3.4273164,23.530779,5.8470683
103,periodic,6.1546073,-4.57032,-13.66636,5.3168416,32.089035,-10.795348,-4.579942,1.5587047
104,periodic,-0.9401644,3.1134145,-10.822631,4.5500736,-8.63799,17.113708,-8.50949,10.207771
105,periodic,8.477282,-2.0521467,1.3343246,3.286974,35.416294,-8.809668,17.033043,2.7930706
106,periodic,8.172016,-2.6628475,3.251624,7.9848742,34.890335,-8.4445715,20.152185,1.0972509
107,periodic,-0.19720007,2.5345514,11.64671,3.182806,-14.021621,16.318663,13.851338,11.803472
108,periodic,9.140632,-1.4612769,11.8198,4.189309,35.7702,-7.9054365,17.591215,4.719127
109,periodic,-2.2231865,1.6530408,6.056388,6.034423,-10.133664,17.255936,14.1015415,5.715145
110,periodic,-1.4783722,3.3891869,21.063492,1.886143,-7.844958,18.13653,14.85878,13.700352
111,periodic,-2.7274418,0.9756024,12.225995,-4.733792,-22.124208,0.625846,7.312653,-3.7257178
112,periodic,-1.3479275,0.7877993,3.1062129,-5.869534,-20.50653,-0.9768767,4.6263704,-4.8380337
113,periodic,7.218455,-3.6640995,-20.144854,8.864002,33.388966,-11.018965,-22.619741,3.824542
114,periodic,8.42356,-2.4043527,-11.57753,6.4457555,34.657387,-8.981847,-3.1966941,3.6638567
115,periodic,-2.0896301,1.0419067,-12.074505,-0.4181362,-4.204846,13.292695,-7.2891793,9.878607
116,periodic,-0.97104025,3.7195146,35.355865,4.9001837,-7.081058,18.085875,19.231377,15.936089
117,periodic,-0.5692461,2.3032262,-13.9874325,-0.7832873,-13.958801,16.489563,-15.384903,0.052241337
118,periodic,8.102529,-1.4178344,-6.502782,12.0870495,26.852278,-3.6366901,24.391161,-0.48198065
119,periodic,-1.472772,3.787012,4.9186373,1.824773,-11.246969,18.711414,7.8004766,5.707645
120,periodic,-1.2157618,2.7995186,18.67956,-4.994475,-17.662771,5.952083,12.398058,-12.903603
121,periodic,7.4212556,-3.0852423,13.138992,5.614677,34.470802,-9.745413,18.144564,5.2060113
122,periodic,-2.1211486,2.1921318,-4.9910436,1.2564018,-18.711905,5.916809,-6.2671237,-0.9208532
123,periodic,-1.4766691,2.4283366,-20.171444,-2.0728762,-4.499824,14.475411,-18.231066,0.7823976
124,periodic,6.2701225,-3.6065922,-1.4803692,14.91218,28.708939,-8.09786,24.835941,2.813748
125,periodic,6.7138386,-4.026964,-1.199725,9.476363,33.00609,-11.115736,21.37319,0.104724735
126,periodic,-2.443481,0.91347563,-6.1694965,-0.80216557,-21.442139,0.22097342,-0.7143956,-1.3525097
127,periodic,-0.38429016,4.425733,-7.0093427,3.53218,-11.491473,16.378292,-5.093394,8.489424
128,periodic,6.333149,-4.3916907,22.21879,11.683883,32.666595,-11.292114,20.45906,11.452959
129,periodic,-2.3430007,0.86567473,-2.0455854,1.2072624,-21.339277,0.6134192,2.4999173,-0.44371486
130,periodic,7.1438656,-1.8091072,19.712404,8.438114,26.743486,-6.324611,22.589325,14.143001
131,periodic,-3.282891,0.18590924,-2.8902962,-4.6080055,-22.982718,0.9892631,-5.4526935,-5.8263936
132,periodic,-0.9712441,3.466637,15.249511,1.1531926,-8.562105,18.09935,16.23633,11.884959
133,periodic,7.3249745,-2.5554757,8.570351,11.517507,27.19088,-4.295556,27.097588,6.954599
134,periodic,-1.1101855,2.5199475,-26.56971,2.0215068,-20.830364,3.0866532,-21.078264,0.6191657
135,periodic,-0.52442986,3.2450233,16.85396,-0.7322725,-13.996784,16.341927,14.88859,12.145894
136,periodic,-0.7275304,4.16216,6.3057275,6.271349,-11.793649,16.831,10.457526,10.304618
137,periodic,-0.5811081,2.6387503,2.8731503,-2.5000148,-4.575964,14.331835,2.821603,7.4566693
138,periodic,-2.170408,-0.19158164,-17.57969,-0.23008558,-21.616116,-0.3929832,-11.382135,-0.1989708
139,periodic,-1.3011936,2.905303,2.9660685,5.5022864,-9.114845,16.94565,11.603235,6.6993494
140,periodic,-1.1622087,3.8241944,19.723352,4.9316516,-8.853582,17.929869,16.506134,12.29785
141,periodic,8.646924,-2.3469408,-11.445089,9.801204,35.82752,-9.275054,-4.3026643,4.2501454
142,periodic,8.596405,-1.9877998,-25.27995,6.897656,36.106876,-8.846842,-24.565628,3.7404473
143,periodic,8.386121,-1.809383,-1.8129088,9.810688,26.985636,-3.683535,26.27161,2.445955
144,periodic,8.891971,-0.6963375,-19.251003,8.620907,29.4087,-2.3031898,-23.875526,6.615883
145,periodic,-1.3337966,3.5988097,8.356117,-0.056612868,-18.194736,6.155864,10.279436,0.80649704
146,periodic,-1.2537848,3.5972044,-3.3118827,6.516387,-7.373619,17.482523,-4.087271,12.200976
147,periodic,-1.8362119,3.4557886,-20.271873,0.01679232,-11.321572,18.784695,-17.681965,1.132139
148,periodic,-1.8182912,1.5836213,6.6618943,-2.0828388,-4.1349664,13.487444,1.9515032,-17.753172
149,periodic,8.98627,-1.5085323,18.231709,3.3516226,36.03975,-8.171357,17.827301,6.1862917
150,periodic,6.1724176,-4.1946564,-2.383986,7.0639825,32.766647,-10.942028,21.73064,0.88972044
151,periodic,-2.0525205,0.08685665,14.2338915,-2.6930633,-21.48427,-0.2863933,10.3689,-6.359053
152,periodic,-1.4828033,2.6159105,9.256713,2.2443154,-4.678945,14.284009,9.4753685,6.383102
153,periodic,0.06504499,3.2060297,-0.50112104,3.8706393,-13.942766,15.9824705,12.746621,4.8523088
154,periodic,7.581026,-1.1942769,-14.2891245,8.659247,26.11465,-5.166542,-18.302942,8.119516
155,periodic,6.9984837,-2.5496674,29.952406,7.1753407,27.31245,-6.200988,20.90527,15.226718
156,periodic,0.41039845,3.274202,-22.567799,7.7329216,-14.669075,15.316356,-20.844603,2.6537838
157,periodic,-1.4490179,2.2527676,-23.90473,1.282001,-4.5405736,14.254333,-18.746048,2.742394
158,periodic,7.0483165,-3.624425,-25.192276,5.0730743,33.234566,-10.872206,-23.740673,2.9903042
159,periodic,6.9763927,-2.7063036,-8.839016,7.502886,26.965527,-6.5560517,-17.52482,8.4011755
160,periodic,7.912303,-2.3896239,5.6217875,7.1997933,34.658443,-9.273064,15.838859,4.571045
161,periodic,-3.02693,0.28153047,25.599163,-7.087501,-20.855537,0.09709791,14.589118,-9.844043
162,periodic,-2.2732747,0.022391273,-9.852218,0.8458138,-22.671368,-0.2567088,-8.82124,0.7932803
163,periodic,7.0706286,-2.9512997,-2.5425808,10.17907,34.70874,-10.229323,20.149817,-1.6222187
164,periodic,-0.5917864,3.1679096,11.040756,-7.6431513,-17.169983,6.14319,6.655927,-15.012141
