model,task,metric,layer,init,n_seeds,pre_mean,rnd_mean,mean,delta,ci_lo,ci_hi,q_value,per_seed_delta
qwen3_8b_base,P10_changepoint_location,balanced_accuracy,n/a,handcrafted,18,,,0.1859,,,,,
qwen3_8b_base,P10_changepoint_location,macro_f1,n/a,handcrafted,18,,,0.1824,,,,,
qwen3_8b_base,P1_trend_direction,balanced_accuracy,n/a,handcrafted,18,,,0.4849,,,,,
qwen3_8b_base,P1_trend_direction,macro_f1,n/a,handcrafted,18,,,0.4841,,,,,
qwen3_8b_base,P2_trend_strength,balanced_accuracy,n/a,handcrafted,18,,,0.4258,,,,,
qwen3_8b_base,P2_trend_strength,macro_f1,n/a,handcrafted,18,,,0.4253,,,,,
qwen3_8b_base,P2b_trend_strength_reg,r2,n/a,handcrafted,18,,,0.319,,,,,
qwen3_8b_base,P2b_trend_strength_reg,nmae,n/a,handcrafted,18,,,0.6699,,,,,
qwen3_8b_base,P3_periodicity_present,balanced_accuracy,n/a,handcrafted,18,,,0.9986,,,,,
qwen3_8b_base,P3_periodicity_present,macro_f1,n/a,handcrafted,18,,,0.999,,,,,
qwen3_8b_base,P4_dominant_period,balanced_accuracy,n/a,handcrafted,18,,,0.977,,,,,
qwen3_8b_base,P4_dominant_period,macro_f1,n/a,handcrafted,18,,,0.9772,,,,,
qwen3_8b_base,P4b_dominant_period_reg,r2,n/a,handcrafted,18,,,0.9213,,,,,
qwen3_8b_base,P4b_dominant_period_reg,nmae,n/a,handcrafted,18,,,0.2233,,,,,
qwen3_8b_base,P5_local_dependence,balanced_accuracy,n/a,handcrafted,18,,,0.5555,,,,,
qwen3_8b_base,P5_local_dependence,macro_f1,n/a,handcrafted,18,,,0.5362,,,,,
qwen3_8b_base,P5b_local_dependence_reg,r2,n/a,handcrafted,18,,,0.6624,,,,,
qwen3_8b_base,P5b_local_dependence_reg,nmae,n/a,handcrafted,18,,,0.4572,,,,,
qwen3_8b_base,P6_noise_level,balanced_accuracy,n/a,handcrafted,18,,,0.5013,,,,,
qwen3_8b_base,P6_noise_level,macro_f1,n/a,handcrafted,18,,,0.4413,,,,,
qwen3_8b_base,P7_anomaly_present,balanced_accuracy,n/a,handcrafted,18,,,0.7292,,,,,
qwen3_8b_base,P7_anomaly_present,macro_f1,n/a,handcrafted,18,,,0.7283,,,,,
qwen3_8b_base,P8_anomaly_location,balanced_accuracy,n/a,handcrafted,18,,,0.1508,,,,,
qwen3_8b_base,P8_anomaly_location,macro_f1,n/a,handcrafted,18,,,0.1364,,,,,
qwen3_8b_base,P9_changepoint_present,balanced_accuracy,n/a,handcrafted,18,,,0.8581,,,,,
qwen3_8b_base,P9_changepoint_present,macro_f1,n/a,handcrafted,18,,,0.858,,,,,
qwen3_8b_base,P10_changepoint_location,balanced_accuracy,L1,pretrained_minus_random,3,0.2838,0.3714,0.2838,-0.0875,-0.1358,-0.0342,,s7:-0.136;s17:-0.034;s27:-0.093
qwen3_8b_base,P10_changepoint_location,macro_f1,L1,pretrained_minus_random,3,0.2673,0.3584,0.2673,-0.0911,-0.1315,-0.038,,s7:-0.131;s17:-0.038;s27:-0.104
qwen3_8b_base,P1_trend_direction,balanced_accuracy,L1,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P1_trend_direction,macro_f1,L1,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P2_trend_strength,balanced_accuracy,L1,pretrained_minus_random,3,0.324,0.34,0.324,-0.016,-0.0576,0.0077,,s7:-0.058;s17:+0.008;s27:+0.002
qwen3_8b_base,P2_trend_strength,macro_f1,L1,pretrained_minus_random,3,0.3124,0.3356,0.3124,-0.0232,-0.0698,0.0063,,s7:-0.070;s17:-0.006;s27:+0.006
qwen3_8b_base,P2b_trend_strength_reg,r2,L1,pretrained_minus_random,3,-0.142,-0.7596,-0.142,0.6176,0.0842,0.9713,,s7:+0.797;s17:+0.971;s27:+0.084
qwen3_8b_base,P2b_trend_strength_reg,nmae,L1,pretrained_minus_random,3,0.877,1.0607,0.877,-0.1837,-0.2738,-0.0232,,s7:-0.254;s17:-0.274;s27:-0.023
qwen3_8b_base,P3_periodicity_present,balanced_accuracy,L1,pretrained_minus_random,3,0.9521,0.9542,0.9521,-0.0021,-0.0167,0.0125,,s7:-0.017;s17:-0.002;s27:+0.012
qwen3_8b_base,P3_periodicity_present,macro_f1,L1,pretrained_minus_random,3,0.9437,0.9486,0.9437,-0.0048,-0.0238,0.0151,,s7:-0.024;s17:-0.006;s27:+0.015
qwen3_8b_base,P4_dominant_period,balanced_accuracy,L1,pretrained_minus_random,3,0.2102,0.2489,0.2102,-0.0387,-0.1031,0.0012,,s7:+0.001;s17:-0.014;s27:-0.103
qwen3_8b_base,P4_dominant_period,macro_f1,L1,pretrained_minus_random,3,0.2059,0.2457,0.2059,-0.0397,-0.1082,0.0016,,s7:+0.002;s17:-0.013;s27:-0.108
qwen3_8b_base,P4b_dominant_period_reg,r2,L1,pretrained_minus_random,3,0.0389,-0.4763,0.0389,0.5152,0.309,0.8847,,s7:+0.352;s17:+0.885;s27:+0.309
qwen3_8b_base,P4b_dominant_period_reg,nmae,L1,pretrained_minus_random,3,0.7675,0.9547,0.7675,-0.1872,-0.2775,-0.1326,,s7:-0.151;s17:-0.277;s27:-0.133
qwen3_8b_base,P5_local_dependence,balanced_accuracy,L1,pretrained_minus_random,3,0.278,0.2877,0.278,-0.0096,-0.0585,0.0824,,s7:-0.053;s17:-0.058;s27:+0.082
qwen3_8b_base,P5_local_dependence,macro_f1,L1,pretrained_minus_random,3,0.2669,0.2857,0.2669,-0.0188,-0.0616,0.0654,,s7:-0.062;s17:-0.060;s27:+0.065
qwen3_8b_base,P5b_local_dependence_reg,r2,L1,pretrained_minus_random,3,-0.296,-1.0545,-0.296,0.7584,0.516,1.0048,,s7:+0.516;s17:+0.754;s27:+1.005
qwen3_8b_base,P5b_local_dependence_reg,nmae,L1,pretrained_minus_random,3,0.9412,1.1629,0.9412,-0.2217,-0.3173,-0.111,,s7:-0.111;s17:-0.237;s27:-0.317
qwen3_8b_base,P6_noise_level,balanced_accuracy,L1,pretrained_minus_random,3,0.3527,0.426,0.3527,-0.0733,-0.0886,-0.0634,,s7:-0.089;s17:-0.063;s27:-0.068
qwen3_8b_base,P6_noise_level,macro_f1,L1,pretrained_minus_random,3,0.3055,0.4223,0.3055,-0.1168,-0.1205,-0.1123,,s7:-0.121;s17:-0.112;s27:-0.118
qwen3_8b_base,P7_anomaly_present,balanced_accuracy,L1,pretrained_minus_random,3,0.569,0.569,0.569,-0.0,-0.1172,0.0898,,s7:-0.117;s17:+0.090;s27:+0.027
qwen3_8b_base,P7_anomaly_present,macro_f1,L1,pretrained_minus_random,3,0.568,0.5681,0.568,-0.0,-0.117,0.0896,,s7:-0.117;s17:+0.090;s27:+0.027
qwen3_8b_base,P8_anomaly_location,balanced_accuracy,L1,pretrained_minus_random,3,0.1649,0.1808,0.1649,-0.0159,-0.0963,0.0383,,s7:+0.038;s17:+0.010;s27:-0.096
qwen3_8b_base,P8_anomaly_location,macro_f1,L1,pretrained_minus_random,3,0.1615,0.1804,0.1615,-0.0189,-0.0887,0.0239,,s7:+0.024;s17:+0.008;s27:-0.089
qwen3_8b_base,P9_changepoint_present,balanced_accuracy,L1,pretrained_minus_random,3,0.9245,0.9362,0.9245,-0.0117,-0.0234,-0.0039,,s7:-0.004;s17:-0.008;s27:-0.023
qwen3_8b_base,P9_changepoint_present,macro_f1,L1,pretrained_minus_random,3,0.9243,0.936,0.9243,-0.0117,-0.0234,-0.0038,,s7:-0.004;s17:-0.008;s27:-0.023
qwen3_8b_base,P10_changepoint_location,balanced_accuracy,p25,pretrained_minus_random,3,0.3275,0.3185,0.3275,0.009,-0.0442,0.0739,,s7:-0.003;s17:-0.044;s27:+0.074
qwen3_8b_base,P10_changepoint_location,macro_f1,p25,pretrained_minus_random,3,0.3144,0.3082,0.3144,0.0062,-0.0396,0.0503,,s7:+0.008;s17:-0.040;s27:+0.050
qwen3_8b_base,P1_trend_direction,balanced_accuracy,p25,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P1_trend_direction,macro_f1,p25,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P2_trend_strength,balanced_accuracy,p25,pretrained_minus_random,3,0.3643,0.3497,0.3643,0.0146,-0.0232,0.0443,,s7:+0.023;s17:+0.044;s27:-0.023
qwen3_8b_base,P2_trend_strength,macro_f1,p25,pretrained_minus_random,3,0.354,0.3422,0.354,0.0117,-0.0187,0.0396,,s7:+0.014;s17:+0.040;s27:-0.019
qwen3_8b_base,P2b_trend_strength_reg,r2,p25,pretrained_minus_random,3,-0.0976,-0.2622,-0.0976,0.1647,-0.1058,0.4613,,s7:+0.139;s17:+0.461;s27:-0.106
qwen3_8b_base,P2b_trend_strength_reg,nmae,p25,pretrained_minus_random,3,0.8417,0.9089,0.8417,-0.0672,-0.1769,0.0238,,s7:-0.049;s17:-0.177;s27:+0.024
qwen3_8b_base,P3_periodicity_present,balanced_accuracy,p25,pretrained_minus_random,3,0.9757,0.9771,0.9757,-0.0014,-0.0083,0.0042,,s7:-0.008;s17:+0.000;s27:+0.004
qwen3_8b_base,P3_periodicity_present,macro_f1,p25,pretrained_minus_random,3,0.978,0.9751,0.978,0.0029,-0.0035,0.0061,,s7:-0.004;s17:+0.006;s27:+0.006
qwen3_8b_base,P4_dominant_period,balanced_accuracy,p25,pretrained_minus_random,3,0.601,0.4541,0.601,0.1469,0.0897,0.1947,,s7:+0.195;s17:+0.156;s27:+0.090
qwen3_8b_base,P4_dominant_period,macro_f1,p25,pretrained_minus_random,3,0.594,0.4556,0.594,0.1384,0.0811,0.1896,,s7:+0.190;s17:+0.145;s27:+0.081
qwen3_8b_base,P4b_dominant_period_reg,r2,p25,pretrained_minus_random,3,0.9385,0.7406,0.9385,0.1979,0.1848,0.2134,,s7:+0.195;s17:+0.185;s27:+0.213
qwen3_8b_base,P4b_dominant_period_reg,nmae,p25,pretrained_minus_random,3,0.1927,0.4097,0.1927,-0.217,-0.2354,-0.2013,,s7:-0.214;s17:-0.201;s27:-0.235
qwen3_8b_base,P5_local_dependence,balanced_accuracy,p25,pretrained_minus_random,3,0.4843,0.3442,0.4843,0.1401,0.1251,0.1623,,s7:+0.162;s17:+0.133;s27:+0.125
qwen3_8b_base,P5_local_dependence,macro_f1,p25,pretrained_minus_random,3,0.4745,0.3376,0.4745,0.1369,0.1255,0.1563,,s7:+0.156;s17:+0.129;s27:+0.125
qwen3_8b_base,P5b_local_dependence_reg,r2,p25,pretrained_minus_random,3,0.34,-0.144,0.34,0.484,0.2367,0.6774,,s7:+0.237;s17:+0.538;s27:+0.677
qwen3_8b_base,P5b_local_dependence_reg,nmae,p25,pretrained_minus_random,3,0.6408,0.8642,0.6408,-0.2234,-0.2938,-0.1446,,s7:-0.145;s17:-0.232;s27:-0.294
qwen3_8b_base,P6_noise_level,balanced_accuracy,p25,pretrained_minus_random,3,0.4703,0.4591,0.4703,0.0113,-0.0118,0.0286,,s7:+0.029;s17:+0.017;s27:-0.012
qwen3_8b_base,P6_noise_level,macro_f1,p25,pretrained_minus_random,3,0.4639,0.4555,0.4639,0.0084,-0.0105,0.0188,,s7:+0.017;s17:+0.019;s27:-0.010
qwen3_8b_base,P7_anomaly_present,balanced_accuracy,p25,pretrained_minus_random,3,0.737,0.5573,0.737,0.1797,0.1758,0.1836,,s7:+0.180;s17:+0.176;s27:+0.184
qwen3_8b_base,P7_anomaly_present,macro_f1,p25,pretrained_minus_random,3,0.7361,0.556,0.7361,0.1801,0.1773,0.1842,,s7:+0.179;s17:+0.177;s27:+0.184
qwen3_8b_base,P8_anomaly_location,balanced_accuracy,p25,pretrained_minus_random,3,0.1539,0.1734,0.1539,-0.0196,-0.079,0.039,,s7:+0.039;s17:-0.079;s27:-0.019
qwen3_8b_base,P8_anomaly_location,macro_f1,p25,pretrained_minus_random,3,0.1563,0.1712,0.1563,-0.0149,-0.0692,0.0454,,s7:+0.045;s17:-0.069;s27:-0.021
qwen3_8b_base,P9_changepoint_present,balanced_accuracy,p25,pretrained_minus_random,3,0.9648,0.9466,0.9648,0.0182,0.0,0.0273,,s7:+0.027;s17:+0.000;s27:+0.027
qwen3_8b_base,P9_changepoint_present,macro_f1,p25,pretrained_minus_random,3,0.9648,0.9465,0.9648,0.0183,0.0,0.0275,,s7:+0.027;s17:+0.000;s27:+0.027
qwen3_8b_base,P10_changepoint_location,balanced_accuracy,p50,pretrained_minus_random,3,0.3426,0.3408,0.3426,0.0018,-0.0832,0.0532,,s7:+0.035;s17:+0.053;s27:-0.083
qwen3_8b_base,P10_changepoint_location,macro_f1,p50,pretrained_minus_random,3,0.3423,0.3344,0.3423,0.0079,-0.0742,0.0625,,s7:+0.036;s17:+0.063;s27:-0.074
qwen3_8b_base,P1_trend_direction,balanced_accuracy,p50,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P1_trend_direction,macro_f1,p50,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P2_trend_strength,balanced_accuracy,p50,pretrained_minus_random,3,0.3751,0.3355,0.3751,0.0397,0.0225,0.0548,,s7:+0.023;s17:+0.042;s27:+0.055
qwen3_8b_base,P2_trend_strength,macro_f1,p50,pretrained_minus_random,3,0.3698,0.325,0.3698,0.0448,0.0182,0.0611,,s7:+0.018;s17:+0.055;s27:+0.061
qwen3_8b_base,P2b_trend_strength_reg,r2,p50,pretrained_minus_random,3,-0.1918,-0.2247,-0.1918,0.0329,-0.0292,0.1488,,s7:-0.029;s17:+0.149;s27:-0.021
qwen3_8b_base,P2b_trend_strength_reg,nmae,p50,pretrained_minus_random,3,0.8448,0.9011,0.8448,-0.0563,-0.0989,-0.0043,,s7:-0.004;s17:-0.099;s27:-0.066
qwen3_8b_base,P3_periodicity_present,balanced_accuracy,p50,pretrained_minus_random,3,0.9792,0.9778,0.9792,0.0014,-0.0063,0.0104,,s7:+0.000;s17:+0.010;s27:-0.006
qwen3_8b_base,P3_periodicity_present,macro_f1,p50,pretrained_minus_random,3,0.9802,0.9761,0.9802,0.0041,-0.0062,0.0155,,s7:+0.003;s17:+0.015;s27:-0.006
qwen3_8b_base,P4_dominant_period,balanced_accuracy,p50,pretrained_minus_random,3,0.7976,0.4815,0.7976,0.3161,0.2846,0.373,,s7:+0.285;s17:+0.373;s27:+0.291
qwen3_8b_base,P4_dominant_period,macro_f1,p50,pretrained_minus_random,3,0.7953,0.4812,0.7953,0.314,0.2831,0.3708,,s7:+0.283;s17:+0.371;s27:+0.288
qwen3_8b_base,P4b_dominant_period_reg,r2,p50,pretrained_minus_random,3,0.9645,0.6984,0.9645,0.2662,0.2298,0.3,,s7:+0.269;s17:+0.230;s27:+0.300
qwen3_8b_base,P4b_dominant_period_reg,nmae,p50,pretrained_minus_random,3,0.1443,0.4406,0.1443,-0.2962,-0.3291,-0.278,,s7:-0.282;s17:-0.278;s27:-0.329
qwen3_8b_base,P5_local_dependence,balanced_accuracy,p50,pretrained_minus_random,3,0.4529,0.348,0.4529,0.1049,0.0802,0.14,,s7:+0.140;s17:+0.080;s27:+0.094
qwen3_8b_base,P5_local_dependence,macro_f1,p50,pretrained_minus_random,3,0.4465,0.3421,0.4465,0.1044,0.0771,0.1428,,s7:+0.143;s17:+0.077;s27:+0.093
qwen3_8b_base,P5b_local_dependence_reg,r2,p50,pretrained_minus_random,3,0.3517,-0.0365,0.3517,0.3882,0.269,0.5207,,s7:+0.269;s17:+0.375;s27:+0.521
qwen3_8b_base,P5b_local_dependence_reg,nmae,p50,pretrained_minus_random,3,0.6288,0.8305,0.6288,-0.2017,-0.2459,-0.1633,,s7:-0.163;s17:-0.196;s27:-0.246
qwen3_8b_base,P6_noise_level,balanced_accuracy,p50,pretrained_minus_random,3,0.516,0.4577,0.516,0.0583,0.0171,0.0828,,s7:+0.083;s17:+0.017;s27:+0.075
qwen3_8b_base,P6_noise_level,macro_f1,p50,pretrained_minus_random,3,0.5161,0.4549,0.5161,0.0612,0.0219,0.0866,,s7:+0.087;s17:+0.022;s27:+0.075
qwen3_8b_base,P7_anomaly_present,balanced_accuracy,p50,pretrained_minus_random,3,0.7396,0.5664,0.7396,0.1732,0.1602,0.1992,,s7:+0.199;s17:+0.160;s27:+0.160
qwen3_8b_base,P7_anomaly_present,macro_f1,p50,pretrained_minus_random,3,0.7384,0.5653,0.7384,0.1731,0.1593,0.1995,,s7:+0.200;s17:+0.159;s27:+0.160
qwen3_8b_base,P8_anomaly_location,balanced_accuracy,p50,pretrained_minus_random,3,0.263,0.1814,0.263,0.0816,0.059,0.1023,,s7:+0.059;s17:+0.102;s27:+0.083
qwen3_8b_base,P8_anomaly_location,macro_f1,p50,pretrained_minus_random,3,0.2548,0.1787,0.2548,0.0761,0.0501,0.0898,,s7:+0.050;s17:+0.090;s27:+0.089
qwen3_8b_base,P9_changepoint_present,balanced_accuracy,p50,pretrained_minus_random,3,0.9688,0.9492,0.9688,0.0195,-0.0039,0.0352,,s7:+0.035;s17:-0.004;s27:+0.027
qwen3_8b_base,P9_changepoint_present,macro_f1,p50,pretrained_minus_random,3,0.9687,0.9492,0.9687,0.0196,-0.0039,0.0352,,s7:+0.035;s17:-0.004;s27:+0.027
qwen3_8b_base,P10_changepoint_location,balanced_accuracy,p75,pretrained_minus_random,3,0.3718,0.3298,0.3718,0.0419,0.0115,0.0766,,s7:+0.038;s17:+0.077;s27:+0.012
qwen3_8b_base,P10_changepoint_location,macro_f1,p75,pretrained_minus_random,3,0.3626,0.3206,0.3626,0.042,0.0173,0.0627,,s7:+0.046;s17:+0.063;s27:+0.017
qwen3_8b_base,P1_trend_direction,balanced_accuracy,p75,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P1_trend_direction,macro_f1,p75,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P2_trend_strength,balanced_accuracy,p75,pretrained_minus_random,3,0.384,0.3337,0.384,0.0502,0.0245,0.0778,,s7:+0.025;s17:+0.048;s27:+0.078
qwen3_8b_base,P2_trend_strength,macro_f1,p75,pretrained_minus_random,3,0.3739,0.3276,0.3739,0.0463,0.0079,0.0739,,s7:+0.008;s17:+0.057;s27:+0.074
qwen3_8b_base,P2b_trend_strength_reg,r2,p75,pretrained_minus_random,3,-0.22,-0.2084,-0.22,-0.0117,-0.0679,0.0636,,s7:+0.064;s17:-0.068;s27:-0.031
qwen3_8b_base,P2b_trend_strength_reg,nmae,p75,pretrained_minus_random,3,0.8793,0.8936,0.8793,-0.0142,-0.0279,0.0046,,s7:-0.028;s17:+0.005;s27:-0.019
qwen3_8b_base,P3_periodicity_present,balanced_accuracy,p75,pretrained_minus_random,3,0.9826,0.9792,0.9826,0.0035,-0.0021,0.0125,,s7:+0.000;s17:+0.013;s27:-0.002
qwen3_8b_base,P3_periodicity_present,macro_f1,p75,pretrained_minus_random,3,0.9823,0.9782,0.9823,0.0042,-0.0029,0.0125,,s7:-0.003;s17:+0.012;s27:+0.003
qwen3_8b_base,P4_dominant_period,balanced_accuracy,p75,pretrained_minus_random,3,0.7966,0.4754,0.7966,0.3212,0.2736,0.3778,,s7:+0.312;s17:+0.378;s27:+0.274
qwen3_8b_base,P4_dominant_period,macro_f1,p75,pretrained_minus_random,3,0.7941,0.4791,0.7941,0.315,0.2673,0.3696,,s7:+0.308;s17:+0.370;s27:+0.267
qwen3_8b_base,P4b_dominant_period_reg,r2,p75,pretrained_minus_random,3,0.9578,0.665,0.9578,0.2928,0.2382,0.3338,,s7:+0.307;s17:+0.238;s27:+0.334
qwen3_8b_base,P4b_dominant_period_reg,nmae,p75,pretrained_minus_random,3,0.1549,0.46,0.1549,-0.3051,-0.3357,-0.2765,,s7:-0.303;s17:-0.277;s27:-0.336
qwen3_8b_base,P5_local_dependence,balanced_accuracy,p75,pretrained_minus_random,3,0.4862,0.3332,0.4862,0.1529,0.0983,0.1815,,s7:+0.098;s17:+0.181;s27:+0.179
qwen3_8b_base,P5_local_dependence,macro_f1,p75,pretrained_minus_random,3,0.4712,0.3269,0.4712,0.1444,0.0908,0.1782,,s7:+0.091;s17:+0.178;s27:+0.164
qwen3_8b_base,P5b_local_dependence_reg,r2,p75,pretrained_minus_random,3,0.3593,-0.0474,0.3593,0.4067,0.2706,0.5757,,s7:+0.271;s17:+0.374;s27:+0.576
qwen3_8b_base,P5b_local_dependence_reg,nmae,p75,pretrained_minus_random,3,0.6406,0.8311,0.6406,-0.1905,-0.2556,-0.1278,,s7:-0.128;s17:-0.188;s27:-0.256
qwen3_8b_base,P6_noise_level,balanced_accuracy,p75,pretrained_minus_random,3,0.5528,0.4535,0.5528,0.0993,0.0743,0.1268,,s7:+0.127;s17:+0.074;s27:+0.097
qwen3_8b_base,P6_noise_level,macro_f1,p75,pretrained_minus_random,3,0.5512,0.4499,0.5512,0.1013,0.078,0.1308,,s7:+0.131;s17:+0.078;s27:+0.095
qwen3_8b_base,P7_anomaly_present,balanced_accuracy,p75,pretrained_minus_random,3,0.7643,0.5677,0.7643,0.1966,0.168,0.2305,,s7:+0.230;s17:+0.191;s27:+0.168
qwen3_8b_base,P7_anomaly_present,macro_f1,p75,pretrained_minus_random,3,0.763,0.5664,0.763,0.1965,0.1674,0.2293,,s7:+0.229;s17:+0.193;s27:+0.167
qwen3_8b_base,P8_anomaly_location,balanced_accuracy,p75,pretrained_minus_random,3,0.285,0.1946,0.285,0.0904,0.0763,0.1007,,s7:+0.094;s17:+0.076;s27:+0.101
qwen3_8b_base,P8_anomaly_location,macro_f1,p75,pretrained_minus_random,3,0.2837,0.1915,0.2837,0.0923,0.0724,0.1053,,s7:+0.099;s17:+0.072;s27:+0.105
qwen3_8b_base,P9_changepoint_present,balanced_accuracy,p75,pretrained_minus_random,3,0.9648,0.9518,0.9648,0.013,0.0039,0.0195,,s7:+0.020;s17:+0.016;s27:+0.004
qwen3_8b_base,P9_changepoint_present,macro_f1,p75,pretrained_minus_random,3,0.9648,0.9518,0.9648,0.0131,0.004,0.0196,,s7:+0.020;s17:+0.016;s27:+0.004
qwen3_8b_base,P10_changepoint_location,balanced_accuracy,final,pretrained_minus_random,3,0.3284,0.313,0.3284,0.0153,0.008,0.0222,,s7:+0.022;s17:+0.008;s27:+0.016
qwen3_8b_base,P10_changepoint_location,macro_f1,final,pretrained_minus_random,3,0.3145,0.3082,0.3145,0.0063,-0.0045,0.0201,,s7:+0.020;s17:-0.004;s27:+0.003
qwen3_8b_base,P1_trend_direction,balanced_accuracy,final,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P1_trend_direction,macro_f1,final,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P2_trend_strength,balanced_accuracy,final,pretrained_minus_random,3,0.3948,0.3126,0.3948,0.0823,0.0721,0.0894,,s7:+0.085;s17:+0.072;s27:+0.089
qwen3_8b_base,P2_trend_strength,macro_f1,final,pretrained_minus_random,3,0.3874,0.305,0.3874,0.0825,0.0775,0.0895,,s7:+0.078;s17:+0.080;s27:+0.089
qwen3_8b_base,P2b_trend_strength_reg,r2,final,pretrained_minus_random,3,-0.0644,-0.1691,-0.0644,0.1047,0.0575,0.1749,,s7:+0.175;s17:+0.082;s27:+0.057
qwen3_8b_base,P2b_trend_strength_reg,nmae,final,pretrained_minus_random,3,0.8334,0.8742,0.8334,-0.0408,-0.0519,-0.027,,s7:-0.052;s17:-0.044;s27:-0.027
qwen3_8b_base,P3_periodicity_present,balanced_accuracy,final,pretrained_minus_random,3,0.9799,0.9778,0.9799,0.0021,-0.0062,0.0104,,s7:+0.002;s17:+0.010;s27:-0.006
qwen3_8b_base,P3_periodicity_present,macro_f1,final,pretrained_minus_random,3,0.9792,0.9761,0.9792,0.0031,-0.0032,0.0094,,s7:+0.003;s17:+0.009;s27:-0.003
qwen3_8b_base,P4_dominant_period,balanced_accuracy,final,pretrained_minus_random,3,0.7669,0.4579,0.7669,0.309,0.2611,0.3499,,s7:+0.316;s17:+0.350;s27:+0.261
qwen3_8b_base,P4_dominant_period,macro_f1,final,pretrained_minus_random,3,0.7629,0.4598,0.7629,0.3031,0.2556,0.342,,s7:+0.312;s17:+0.342;s27:+0.256
qwen3_8b_base,P4b_dominant_period_reg,r2,final,pretrained_minus_random,3,0.9486,0.6276,0.9486,0.321,0.2659,0.3514,,s7:+0.346;s17:+0.266;s27:+0.351
qwen3_8b_base,P4b_dominant_period_reg,nmae,final,pretrained_minus_random,3,0.1751,0.4874,0.1751,-0.3123,-0.3381,-0.2772,,s7:-0.322;s17:-0.277;s27:-0.338
qwen3_8b_base,P5_local_dependence,balanced_accuracy,final,pretrained_minus_random,3,0.4726,0.3342,0.4726,0.1385,0.1252,0.1553,,s7:+0.125;s17:+0.155;s27:+0.135
qwen3_8b_base,P5_local_dependence,macro_f1,final,pretrained_minus_random,3,0.4625,0.3263,0.4625,0.1362,0.122,0.1558,,s7:+0.122;s17:+0.156;s27:+0.131
qwen3_8b_base,P5b_local_dependence_reg,r2,final,pretrained_minus_random,3,0.3621,-0.0674,0.3621,0.4294,0.3543,0.5394,,s7:+0.354;s17:+0.395;s27:+0.539
qwen3_8b_base,P5b_local_dependence_reg,nmae,final,pretrained_minus_random,3,0.6387,0.8374,0.6387,-0.1986,-0.2376,-0.1666,,s7:-0.167;s17:-0.192;s27:-0.238
qwen3_8b_base,P6_noise_level,balanced_accuracy,final,pretrained_minus_random,3,0.5619,0.4524,0.5619,0.1094,0.0586,0.1514,,s7:+0.151;s17:+0.059;s27:+0.118
qwen3_8b_base,P6_noise_level,macro_f1,final,pretrained_minus_random,3,0.5583,0.448,0.5583,0.1102,0.0605,0.1549,,s7:+0.155;s17:+0.060;s27:+0.115
qwen3_8b_base,P7_anomaly_present,balanced_accuracy,final,pretrained_minus_random,3,0.7721,0.5716,0.7721,0.2005,0.1914,0.207,,s7:+0.191;s17:+0.203;s27:+0.207
qwen3_8b_base,P7_anomaly_present,macro_f1,final,pretrained_minus_random,3,0.77,0.5702,0.77,0.1998,0.1883,0.2057,,s7:+0.188;s17:+0.206;s27:+0.205
qwen3_8b_base,P8_anomaly_location,balanced_accuracy,final,pretrained_minus_random,3,0.2514,0.1725,0.2514,0.0789,0.0626,0.0882,,s7:+0.063;s17:+0.088;s27:+0.086
qwen3_8b_base,P8_anomaly_location,macro_f1,final,pretrained_minus_random,3,0.2494,0.1721,0.2494,0.0773,0.0616,0.0926,,s7:+0.062;s17:+0.078;s27:+0.093
qwen3_8b_base,P9_changepoint_present,balanced_accuracy,final,pretrained_minus_random,3,0.9688,0.9505,0.9688,0.0182,0.0078,0.0312,,s7:+0.016;s17:+0.031;s27:+0.008
qwen3_8b_base,P9_changepoint_present,macro_f1,final,pretrained_minus_random,3,0.9688,0.9505,0.9688,0.0183,0.0078,0.0313,,s7:+0.016;s17:+0.031;s27:+0.008
deepseek_llm_7b,P10_changepoint_location,balanced_accuracy,n/a,handcrafted,6,,,0.1859,,,,,
