model,task,metric,layer,init,n_seeds,pre_mean,rnd_mean,mean,delta,ci_lo,ci_hi,q_value,per_seed_delta
olmo2_13b,P1_trend_direction,balanced_accuracy,L1,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
olmo2_13b,P1_trend_direction,macro_f1,L1,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
olmo2_13b,P2_trend_strength,balanced_accuracy,L1,pretrained_minus_random,3,0.288,0.3431,0.288,-0.0551,-0.0625,-0.0431,,s7:-0.060;s17:-0.062;s27:-0.043
olmo2_13b,P2_trend_strength,macro_f1,L1,pretrained_minus_random,3,0.2845,0.3366,0.2845,-0.0521,-0.0645,-0.0306,,s7:-0.061;s17:-0.064;s27:-0.031
olmo2_13b,P2b_trend_strength_reg,r2,L1,pretrained_minus_random,3,-0.3028,-0.6537,-0.3028,0.3509,0.1412,0.4905,,s7:+0.491;s17:+0.141;s27:+0.421
olmo2_13b,P2b_trend_strength_reg,nmae,L1,pretrained_minus_random,3,0.9162,1.0162,0.9162,-0.1,-0.1462,-0.0534,,s7:-0.146;s17:-0.053;s27:-0.100
olmo2_13b,P3_periodicity_present,balanced_accuracy,L1,pretrained_minus_random,3,0.9569,0.9771,0.9569,-0.0201,-0.025,-0.0146,,s7:-0.025;s17:-0.021;s27:-0.015
olmo2_13b,P3_periodicity_present,macro_f1,L1,pretrained_minus_random,3,0.9506,0.9712,0.9506,-0.0206,-0.0214,-0.0191,,s7:-0.019;s17:-0.021;s27:-0.021
olmo2_13b,P4_dominant_period,balanced_accuracy,L1,pretrained_minus_random,3,0.1685,0.1814,0.1685,-0.0129,-0.0265,0.0046,,s7:-0.026;s17:-0.017;s27:+0.005
olmo2_13b,P4_dominant_period,macro_f1,L1,pretrained_minus_random,3,0.1664,0.1834,0.1664,-0.017,-0.0319,0.0034,,s7:-0.032;s17:-0.023;s27:+0.003
olmo2_13b,P4b_dominant_period_reg,r2,L1,pretrained_minus_random,3,-0.1929,-0.9646,-0.1929,0.7717,0.1843,1.2439,,s7:+0.184;s17:+0.887;s27:+1.244
olmo2_13b,P4b_dominant_period_reg,nmae,L1,pretrained_minus_random,3,0.8743,1.123,0.8743,-0.2486,-0.4006,-0.0648,,s7:-0.065;s17:-0.280;s27:-0.401
olmo2_13b,P5_local_dependence,balanced_accuracy,L1,pretrained_minus_random,3,0.2926,0.2616,0.2926,0.031,-0.0147,0.0727,,s7:-0.015;s17:+0.035;s27:+0.073
olmo2_13b,P5_local_dependence,macro_f1,L1,pretrained_minus_random,3,0.2864,0.2607,0.2864,0.0257,-0.0224,0.0625,,s7:-0.022;s17:+0.037;s27:+0.062
olmo2_13b,P5b_local_dependence_reg,r2,L1,pretrained_minus_random,3,-0.3336,-0.7075,-0.3336,0.3739,0.2133,0.6745,,s7:+0.213;s17:+0.234;s27:+0.675
olmo2_13b,P5b_local_dependence_reg,nmae,L1,pretrained_minus_random,3,0.9408,1.0604,0.9408,-0.1196,-0.2307,-0.0626,,s7:-0.063;s17:-0.065;s27:-0.231
olmo2_13b,P6_noise_level,balanced_accuracy,L1,pretrained_minus_random,3,0.3746,0.4817,0.3746,-0.1071,-0.1282,-0.0859,,s7:-0.107;s17:-0.128;s27:-0.086
olmo2_13b,P6_noise_level,macro_f1,L1,pretrained_minus_random,3,0.3464,0.4804,0.3464,-0.134,-0.1599,-0.1159,,s7:-0.126;s17:-0.160;s27:-0.116
olmo2_13b,P7_anomaly_present,balanced_accuracy,L1,pretrained_minus_random,3,0.6107,0.6367,0.6107,-0.026,-0.0469,-0.0039,,s7:-0.047;s17:-0.004;s27:-0.027
olmo2_13b,P7_anomaly_present,macro_f1,L1,pretrained_minus_random,3,0.6088,0.6333,0.6088,-0.0245,-0.045,-0.0013,,s7:-0.045;s17:-0.001;s27:-0.027
olmo2_13b,P8_anomaly_location,balanced_accuracy,L1,pretrained_minus_random,3,0.1787,0.2109,0.1787,-0.0322,-0.0635,0.0026,,s7:+0.003;s17:-0.064;s27:-0.036
